Nome,Frequencia (GHz),Alcance (km),Potência de transmissão (Watts),ganho da antena (dBi),Limiar Rx (dBm),Throughput (Gbps),Preço
EH2200FX,70/80,6.9,13,43/50,–71,1/2,$3700.00
AF-5U,5.7/6.2,100+,1,23,–95/–57,1.2+,$999
